computer science,c100000
dermatology and venerology,c101241
oceanography,c101242
herbal entrepreneurship,c101243
applied botany,c101244
environmental monitoring and impact assessment,c101245
science botany,c101246
botany honours p viii theory,c101247
floriculture,c101248
mscin environmental science and technology,c101249
by research,c101250
botany horticulture,c101251
biologicalscience,c101252
genetics,c101253
genetics and geonomincs,c101254
applied genetics,c101255
microbial gene technology,c101256
human genetics,c101257
genomics,c101258
genetic counseling,c101259
human genetics and molecular biology,c101260
genetics and genomics,c101261
molecular genetics,c101262
molecular reproduction and development genetics,c101263
gene technology,c101264
esrm,c101265
botany part time,c101266
medicinal plant,c101267
five year,c101268
botany honours pii theory,c101269
life science botany,c101270
bio diversity,c101271
plant tissue culture,c101272
bootany,c101273
bioresources,c101274
boatany,c101275
botany integrated,c101276
botany h and p,c101277
botany honours pi theory,c101278
botny,c101279
biodiversity management,c101280
botany honours p iii theory,c101281
muga silk,c101282
botany external,c101283
bamboo cultivation and resource utilization,c101284
advanced medicinal plants,c101285
food processing and preservation,c101286
plant biology,c101287
chph,c101288
chemistey,c101289
polymer 2 synthetic organic 3 computer biotechnology bioinorganic synthetic,c101290
envinormental,c101291
chesmistry,c101292
organic evening,c101293
science chem,c101294
pune university,c101295
marine,c101296
chemisstry,c101297
org che pg course,c101298
green,c101299
oraganic,c101300
orgnic,c101301
organic chemistr,c101302
chem mathematics,c101303
/ /industrial,c101304
zbc pcm,c101305
inorganic and physical,c101306
ii org,c101307
drug,c101308
advanced organic,c101309
zoologyy,c101310
and pharmaceutical,c101311
zolology,c101312
zoology honours pii theory,c101313
chem and synth and proc tech,c101314
appliedchemistry,c101315
botany zoology mathematics,c101316
by research organic,c101317
analytical ,c101318
analytical and organic,c101319
organichemistry,c101320
zoology honours p vii theory,c101321
honourse,c101322
zoology honours pvi theory,c101323
enviorement science,c101324
environmental biology cell and moleculer biology,c101325
mathematics phyics,c101326
food analysis,c101327
env science,c101328
phy chem,c101329
chemesrty,c101330
clinical lab techniques,c101331
org chamistry,c101332
zoology honours pi theory,c101333
chemistary,c101334
math science,c101335
zoology honours pv theory,c101336
differential fee structure,c101337
medicine and community health,c101338
integrated environmental science and environmental management,c101339
nano science,c101340
meteorology,c101341
future studies,c101342
biomedical science,c101343
cardiovascular,c101344
polymer science,c101345
atmospheric and space science,c101346
maslp,c101347
cosmetology and health care,c101348
instrumentation science,c101349
management studies,c101350
phdin oceans rivers atmosphere and land science,c101351
social work,c101352
sound recording and engineering,c101353
perfusion technology,c101354
coastal aquaculture and marine biotechnology,c101355
i organic,c101356
physiotherapy,c101357
mpm,c101358
mth zoo che phy,c101359
pharmacitical,c101360
media,c101361
media science,c101362
food and nutritiond,c101363
catering technology,c101364
1 analytical 2 inorganic 3 organic 4 physical,c101365
food and nutrition science,c101366
nutrition hons,c101367
tea science,c101368
computer aided manufacturing,c101369
orthopedic nursing,c101370
chimestry,c101371
forestry and biodiversity,c101372
financial engineering,c101373
computer honours,c101374
applied geography and geoinformatics,c101375
communication studies,c101376
dha and et,c101377
fashion technology,c101378
pharmasutical,c101379
chemical science organic/inorganic/physical,c101380
mineral processing,c101381
chmistry,c101382
yoga for human excellance,c101383
yogic science,c101384
industrial bio technology,c101385
media studies,c101386
nanoscience and nanotechnology,c101387
n and n,c101388
forensic science and related law,c101389
interior design,c101390
international hospitality administration,c101391
science counselling,c101392
pgdbi bioinformatics,c101393
medical record technique,c101394
psycology,c101395
mass communication pt,c101396
industrial safety and iso 14000 series,c101397
geography and regional development,c101398
sst,c101399
yoga and naturopathy,c101400
environmental management,c101401
mulberry sericulture,c101402
cyber investigation and laws industry collaborated,c101403
design multimedia,c101404
hospitality administration,c101405
and m tech,c101406
seri biotechnology,c101407
optometry and ophthalmic techniques,c101408
remote sensing and gis,c101409
nutraceutical,c101410
library information and science,c101411
footwear technology,c101412
hospital administration,c101413
botany xoology mathematics,c101414
pulp and paper,c101415
yoga for human excellence,c101416
epidemiology and ph,c101417
chemical engineering,c101418
remote sensing,c101419
food processing technology,c101420
cad,c101421
costume design and fashion,c101422
biomechanics and kinesiology,c101423
aquaculture and fishery microbiology,c101424
economic,c101425
wood science and technology industry linked,c101426
veterinary science,c101427
nutrition science,c101428
best,c101429
nutrition and health,c101430
national centre for ultrafast processes,c101431
geography/geoinf,c101432
agriculture science,c101433
wine brewing and alcohol tech,c101434
plant molecular biology,c101435
rubber and processingology,c101436
chemical,c101437
national centre for nano science and nano technology,c101438
fnta,c101439
rural development science,c101440
hotel management,c101441
pharmaceutical analysis,c101442
human genomic,c101443
dialysis technology,c101444
applied economics common,c101445
organic and inorganic,c101446
integrated msphd forensic nanotechnology,c101447
actuarial economics,c101448
phdin science,c101449
pgdcl slp,c101450
interdisciplinary science,c101451
inoganic,c101452
marine biology and fisheries,c101453
bio separation technology,c101454
textile,c101455
journalism and mass communication,c101456
limnology,c101457
pgdnd,c101458
laboratory science,c101459
cognitive science,c101460
earth science,c101461
medical laboratory tachnology,c101462
pgdfsst,c101463
cosmetic technology,c101464
computer science 09,c101465
phdin materials science centre,c101466
2 years,c101467
life science genetics,c101468
child development,c101469
nanoscience,c101470
waste water treatment,c101471
food technology and quality assurance,c101472
civil,c101473
agriculture hons,c101474
speech language pathology,c101475
operational research,c101476
traditional science and technology,c101477
digital video production,c101478
applied geological,c101479
exercise physiology and nutrition,c101480
printing technology,c101481
pnco,c101482
obstetric and gynaecological nursing,c101483
biosciences,c101484
water science and governance,c101485
atmospheric science,c101486
energy science,c101487
repair and maintenance electronics appliances,c101488
special education,c101489
land resource management,c101490
human genomics,c101491
beauty culture and skin care,c101492
acquaculture,c101493
dtp operator,c101494
plant physiology,c101495
sericultural science,c101496
design,c101497
design film and tv production,c101498
design interior and furniture,c101499
mmlt,c101500
mscin forensic science,c101501
science education,c101502
geography and disaster management,c101503
animation and multimedia technology,c101504
sports journalism,c101505
soware engineering integrated,c101506
pharmaceutical science,c101507
molecular and human genetics,c101508
nutritions,c101509
d pharmacy,c101510
applied quantitative finance,c101511
interdisciplinary research basic science,c101512
acupuncture,c101513
m voc,c101514
pharmaceutics,c101515
nautical science,c101516
applied geochemistry,c101517
ayurveda,c101518
cardiothoracic,c101519
human consciousness and yogic science,c101520
acturial science,c101521
mscin psychology,c101522
applied medicinal plant science,c101523
in geophysics,c101524
audiology and speech language pathology,c101525
