,discipline,discipline_clean
5374,DCA (JULY SESSION),dca july session
5379,"Arts,Science & Commerce",arts science and commerce
5380,COMP SCI,computer science
5385,BCA/DCA/PGDCA,/dca/pgdca
5387,ALL COMP,computer
5393,COMPUTER APP.,computer application
5397,COMPUTER FUNDAMENTAL & OFFICE AUTOMATION PROGRAMMING PRINCIPLE & ALGORITHM PRINCIPLE OF MANAGEMENT BUSINESS COMMUNICATION MATHEMATICS-1  COM LAB & PRACT WORK OF PROGRAMMING PRINCIPLE & ALGORITHM C PROGRAMMING DIGITAL ELECTRONICS & COMPUTER ORGANIZATION MA,computer fundamental and office automation programming principle and algorithm principle management business communication mathematics 1 com lab and pract work programming principle and algorithm c programming digital electronics and computer organization
5416,as per syllabus,as per syllabus
5424,Compputer,computer
5431,CS & IT,cs and it
5433,Compurter,computer
5437,it and computer,it and computer
5439,COMPUTER APPLICATION (DCA),computer application dca
5465,computer app.,computer application
5466,Computer Applicatiion,computer application
5486,Computers Application,computer application
5503,B.C.A (with Credits) - Distance Education,with credits distance education
5506,IT & COMPUTER CENTER,it and computer center
5527,As per University Sllybus,as per university sllybus
5530,Computer Appilication,computer application
5532,Computer&IT,computer and it
5537,computer apllication,computer apllication
5547,PRGRAMMING,prgramming
5558,BCA Management,management
5560,Certificate course in I.T.& computer basics,course init and computer basics
5571,Computor Seience,computer seience
5593,Computers Science,computer science
5642,Comp. Sc.,computer science
5692,IT &Computer,it and computer
5693,FIRST,first
5724,MSc(IT),computer application
5725,IT & COM.,it and com
5732,COMPTUER,computer
5754,BCA Science,science
5755,dca july,dca july
5758,Computer Applications - Part Time,computer application part time
5772,"IT,C,Math,Account",itc math account
5786,compulsary subjects,computer subjects
5788,UG04,ug04
5821,All Compulsory Subject,computer subject
5826,accountancy,accountancy
5831,Computer Applicaions,computer application
5855,COMPUTER SICENCE,computer sicence
5857,good,good
5870,C.A.,computer application
5883,Computer Appl,computer application
5896,COMPUTER SCIECES,computer science
5918,Computer Application ,computer application
5935,B . C. A .,computer application
5943,COPUTER APPLICATION,coputer application
5946,Com. App.,computer application
5957,yes,yes
5961,"COMPUTER APPLICATION,MATHS",computer application mathematics
5964,"fundamental,pc package,ms access,operating system",fundamental pc package access operating system
5972,computer. app.,computer application
5995,COMPUTETR,computer
6019,Bachelor of Computer  Application,computer application
6034,COMOUTER,comouter
6035,comp,computer
6046,Sceince,science
6061,Comp.Appl.,computer application
6071,IT (LKO),computer application
6072,Computer Engineering - 017,computer engineering 017
6084,Computer Applicatuon,computer application
6093,b.c.a,computer application
6097,"Vocational Course BBA, BCA",vocational course
6115,MANAGMENT,managment
6128,vocational,vocational
6129,computer application on,computer application on
6139,"finanacial account,computer fundamental,c-programme,englishc++,pbm,html,bc",finanacial account computer fundamental c programme englishc and and pbm html bc
6142,10+2+3,10 and 2 and 3
6148,database,database
6156,MSc(CS)LE,cs lateral entry
6168,ITM,itm
6175,Urdu,urdu
6191,Mathematics and Computer Science,mathematics and computer science
6193,c030,c030
6214,"fundamental,access,package,os,sad,vb.net,c++,e-commerce,tally",fundamental access package os sad vb net c and and e commerce tally
6229,Fundamentals of  computers,fundamentals computer
6238,IT & COMP.,it and computer
6242,Compter Application,computer application
6289,mathematics,mathematics
6301,(SF) COMPUTER APPLICATION,computer application
6306,COMPTER,computer
6308,Computer Aplications,computer aplications
6309,"BCA Part -I ,II ,III",part iii iii
6320,PGCDA,pgcda
6322,computr,computer
6324,MSC,computer application
6332,Computer Applicatons,computer application
6355,Cmputer,cmputer
6357,Computer Administration,computer administration
6371,Computre,computer
6372,Comerce,comerce
6387,LEET,lateral entry
6394,Sci Comp,science computer
6402,sci,science
6421,Comp. Application,computer application
6448,Managment Science,managment science
6464,C C++ ADBMS,c c and and adbms
6474,DCA (JANUARY SESSION),dca january session
6478,59,computer application
6493,Bachlor in computer applications,bachlor computer application
6520,All Comp Subjects,computer subjects
6524,Computer Applicatoins,computer application
6556,Computer Applicaion,computer application
6565,MATHS WITH CA,mathematics with ca
6570,"fundamental,package,c,socialscience,english,dtp,digital,hindi,advance c,dbms,ds,dbmsoracle,c++,math,english2,cn,sad,vb,internet,multimedia,java,.net,os,science,social,webdevlopment,linus, pm,ecomrce,project",fundamental package c socialscience english dtp digital hindi advance c dbms ds dbmsoracle c and and math english2 cn sad vb internet multimedia java net os science social webdevlopment linus pm ecomrce project
6577,regular,computer application
6586,post graduation diploma in computer application,post graduation computer application
6598,Coputer,coputer
6611,DIPLOMA IN COMPUTE R APPLICATION,computer r application
6632,COMPUTER TECHNOLOGY,computer technology
6639,MANAGEMENT SCIENCE,management science
6652,Com.Sc,com science
6672,Computer Application (Shift I),computer application shii
6689,COMPTER SCIENCE,computer science
6690,ALL SUBJECTE,subjecte
6708,All Sub.,sub
6729,"Introduction to Programming C - I,Introduction to Computers and Information Technology,Mathematical Foundation of Computer Science ,Communication Skills ,Punjabi/Basic Punjabi ,Principles of Digital Electronics,Numerical Methods & Statistical Tech.and etc",introduction to programming ci introduction to computer and information technology mathematics foundation computer science communication skills punjabi/basic punjabi principles digital electronics numerical methods and statistical tech and etc
6739,11,computer application
6745,M SC,computer application
6763,DIPLOMA IN APPLICATION,application
6764,Bachelor Computer    Application,computer application
6770,Manegement,manegement
6775,Computer Science with Specialization in  Soft Computing,computer science with specialization socomputer
6785,IT And Computer Science,it and computer science
6786,evening,evening
6793,compter science,computer science
6833,compute Application,computer application
6837,Comp. Sci,computer science
6854,"Computer Applications (ASAS, Kochi)",computer application
6860,ELECTRONICS & COMMUNICATION,electronics and communication
6894,IT/CS,it/cs
6902,Anual Science,anual science
6941,Human Computing & Artificial Intelligence,human computer and artificial intelligence
6943,java prg,java prg
6962,Computer Scince,computer science
6970,Managment,managment
6974,Scienece,science
7034,mgt,mgt
7037,PGDCA (JULY SESSION),pgdca july session
7056,comp.appl.,computer application
7061,COMUPUTER APPLICATION,computer application
7086,Computer Applications & LE,computer application and le
7088,Mgt. Sci,mgt science
7089,Computer Apllication,computer apllication
7091,"IT, C, JAVA, SOFTWARE ENG. DBMS, HTML, DCN,",itc java soware eng dbms html dcn
7099,BCA E,computer application
7102,BSc,computer application
7118,Comp Science,computer science
7139,Commerce & Computer,commerce and computer
7140,Commerc,commerc
7147,B.C.A -II,bcaii
7167,Computer Applicaton,computer application
7169,"eng.,SAD,sys. s/w,Java,web desg. using HTML & DHTML,E com., OS, S/w Eng.,Web desg. using ASP.Net,Discrete mathematics,CSOA,C++,RDBMS,PUnjabi,IT,C,O.A,C/N,MIS,COMSM,ORDBMS,DE,Mathematics foundation of computer science,Data stucture,VB,",eng sad sys s/w java web desg using html and dhtml e com os s/w eng web desg using asp net discrete mathematics csoa c and and rdbms punjabi itcoa c/n mis comsm ordbms de mathematics foundation computer science data stucture vb
7193,COMPUTER APPPLICATIONS,computer application
7195,Any Discipline,discipline
7197,IT @ Computer,it@ computer
7204,COMPUTER APPLICTIAN,computer application
7206,Job Oriented,job oriented
7220,Comp. application,computer application
7224,PGDCP,pgdcp
7228,Computer Applicaiton,computer application
7234,107,computer application
7243,computer Fundamental & Internet Application,computer fundamental and internet application
7244,Bachelor of computer applications,computer application
7276,COMPUTER LE,computer le
7285,"C,C++,JAVA,VB++,,DE,BE,CF,MATH-I,MATH-II,ENG.,COA,DSC,IDMS,O.S,P&S,DPFS,NAFP,CG,UNIX,DCCN,IT&A-I,OOPC++,ACCT.,DBS,IT&A-II,CG&T,BP,TDP&S,VWP,ISD&I,MA,SE,NP,PROJECT,PRACTICAL INPROGRAM C,C++ etc",c c and and java vb and and debecf math i math ii eng coa idms os p and s dpfs nafp cg unix dccn it and a i oopc and and acct dbs it and a ii cg and t tdp and s vwp isd and i masenp project practical inprogram c c and and etc
7289,Nil,nil
7293,al compusary,al computer
7294,BCA/BSc IT,/ it
7299,discipline,discipline
7300,Ph.D. (Computer Applications),computer application
7304,Arts/Commerce/Science/MCVC,arts/commerce/ science
7311,Becholer of computer  application,becholer computer application
7324,"JAVA,C++",java c and 
7333,"Computer Applications (ASAS, AMR)",computer application
7343,Computer Hardware and Networking,computer hardware and ne2rking
7360,Computer applicatio,computer application
7393,BACHLOR OF COMPUTER APPLICATION,bachlor computer application
7398,Bachelor of Computer,bachelor computer
7404,c.a.,computer application
7408,computer sc.,computer science
7409,IT &Comp,it and computer
7445,computer scince,computer science
7464,Computer aaplication,computer aaplication
7469,Computer Applocation,computer application
7504,Profesnnal,profesnnal
7539,Computer Applications (BCA),computer application
7546,comuter,comuter
7579,"Computer Fundamental, pc software, oops using c,c++,data communication &network,system analysis& desigen,RDBMS",computer fundamental pc soware oops using c c and and data communication and ne2rk system analysis and desigen rdbms
7580,Hardware&servicing,hardware and servicing
7590,Post Graduate Diploma in Computer Applications,computer application
7593,Comuter science,comuter science
7601,DIPLOMA,computer application
7604,"Science, Commerce",science commerce
7638,pg.dca,pg dca
7640,d.c.a,dca
7646,As Per Syllabus,as per syllabus
7649,Computer S,computer s
7657,sceince,science
7670,POST GRADUATION ON DIPLOMA IN COMPUTER APPLICATION,post graduation on computer application
7672,Computer Sceince,computer science
7682,P G D C A,pgdca
7693,Cloud Technology & Information Security Management,cloud technology and information security management
7698,BSC.IST HONOURS,ist honours
7703,"c,c++,java",c c and and java
7704,Bacholar of Computer Application,bacholar computer application
7707,Ph.D.Computer Science,computer science
7758,Cyber Forensic,cyber forensic
7760,diploma in computer application   a,computer application a
7780,bachelor of computer applications,computer application
7793,Model III,model iii
7798,PG Diploma in (Computer Application),computer application
7811,PRIVET,privet
7814,12th,12th
7837,PGDC,pgdc
7847,All Compulsary Subject,computer subject
7850,Vocational Course,vocational course
7854,PGDCA (JANUARY SESSION),pgdca january session
7855,Computer Science And Application,computer science and application
